X,Y,Z,Yaw,Pitch,Roll
0.062635714,0.035798571,0.020632857,215.3724571,-9.127957143,0.205714286
0.058591041,0.042408777,0.0238012,215.3178155,-9.118093552,0.204978432
0.054634758,0.048902015,0.026895284,215.2637302,-9.108343654,0.204231269
0.050766279,0.055278929,0.0299156,215.2101989,-9.098706857,0.203472914
0.046985021,0.061540165,0.032862638,215.1572192,-9.089182568,0.202703486
0.043290397,0.067686366,0.035736887,215.1047887,-9.079770194,0.201923104
0.039681823,0.073718178,0.038538838,215.0529051,-9.070469143,0.201131886
0.036158713,0.079636245,0.041268979,215.0015661,-9.061278822,0.20032995
0.032720483,0.085441211,0.043927802,214.9507692,-9.052198638,0.199517415
0.029366547,0.091133722,0.046515795,214.900512,-9.043228,0.1986944
0.02609632,0.096714421,0.049033449,214.8507922,-9.034366314,0.197861023
0.022909217,0.102183954,0.051481253,214.8016075,-9.025612988,0.197017402
0.019804653,0.107542965,0.053859698,214.7529554,-9.016967429,0.196163657
0.016782043,0.112792099,0.056169272,214.7048336,-9.008429044,0.195299905
0.013840801,0.117932001,0.058410467,214.6572398,-8.999997242,0.194426266
0.010980343,0.122963314,0.060583771,214.6101714,-8.991671429,0.193542857
0.008200083,0.127886684,0.062689675,214.5636263,-8.983451012,0.192649798
0.005499436,0.132702756,0.064728669,214.5176019,-8.9753354,0.191747206
0.002877818,0.137412173,0.066701242,214.472096,-8.967324,0.1908352
0.000334642,0.14201558,0.068607883,214.4271061,-8.959416219,0.189913899
-0.002130676,0.146513623,0.070449084,214.38263,-8.951611464,0.188983422
-0.004518721,0.150906946,0.072225334,214.3386651,-8.943909143,0.188043886
-0.006830078,0.155196193,0.073937122,214.2952093,-8.936308663,0.18709541
-0.009065333,0.159382009,0.075584939,214.25226,-8.928809432,0.186138114
-0.011225071,0.163465038,0.077169274,214.2098149,-8.921410857,0.185172114
-0.013309877,0.167445926,0.078690617,214.1678716,-8.914112346,0.184197531
-0.015320335,0.171325317,0.080149459,214.1264278,-8.906913305,0.183214482
-0.017257031,0.175103855,0.081546288,214.0854811,-8.899813143,0.182223086
-0.019120551,0.178782185,0.082881594,214.0450292,-8.892811266,0.181223461
-0.020911479,0.182360952,0.084155868,214.0050696,-8.885907083,0.180215726
-0.0226304,0.1858408,0.0853696,213.9656,-8.8791,0.1792
-0.0242779,0.189222374,0.086523279,213.926618,-8.872389425,0.178176401
-0.025854563,0.192506319,0.087617394,213.8881213,-8.865774765,0.177145047
-0.027360976,0.195693279,0.088652437,213.8501074,-8.859255429,0.176106057
-0.028797722,0.198783899,0.089628896,213.8125741,-8.852830822,0.17505955
-0.030165387,0.201778823,0.090547262,213.7755189,-8.846500353,0.174005644
-0.031464556,0.204678697,0.091408024,213.7389394,-8.840263429,0.172944457
-0.032695815,0.207484164,0.092211673,213.7028334,-8.834119457,0.171876109
-0.033859748,0.210195869,0.092958697,213.6671984,-8.828067845,0.170800717
-0.034956941,0.212814458,0.093649587,213.632032,-8.822108,0.1697184
-0.035987978,0.215340574,0.094284833,213.5973319,-8.81623933,0.168629277
-0.036953445,0.217774862,0.094864925,213.5630958,-8.810461242,0.167533466
-0.037853927,0.220117967,0.095390352,213.5293211,-8.804773143,0.166431086
-0.038690009,0.222370533,0.095861604,213.4960057,-8.799174441,0.165322255
-0.039462277,0.224533205,0.096279171,213.4631471,-8.793664543,0.164207091
-0.040171314,0.226606629,0.096643543,213.4307429,-8.788242857,0.163085714
-0.040817707,0.228591447,0.09695521,213.3987907,-8.78290879,0.161958242
-0.041402041,0.230488305,0.097214661,213.3672883,-8.77766175,0.160824793
-0.0419249,0.232297848,0.097422387,213.3362331,-8.772501143,0.159685486
