X,Y,Z,Yaw,Pitch,Roll
-0.226015, 2.60969, -3.46281, 39.5137, -4.7132, 131.051
-0.233509, 2.61749, -3.48637, 39.4947, -4.73458, 131.01
-0.238895, 2.54512, -3.41201, 39.4867, -4.74163, 130.99
-0.24603, 2.49955, -3.37491, 39.4721, -4.75746, 130.957
-0.254699, 2.47582, -3.36826, 39.4517, -4.78112, 130.913
-0.264562, 2.46956, -3.38597, 39.4267, -4.8111, 130.861
-0.275372, 2.47714, -3.42382, 39.398, -4.84642, 130.803
-0.286903, 2.49581, -3.4789, 39.3662, -4.88625, 130.739
-0.299161, 2.52463, -3.55109, 39.3313, -4.93104, 130.671
-0.312158, 2.56316, -3.6403, 39.2933, -4.98115, 130.598
-0.325676, 2.60994, -3.74507, 39.2522, -5.03605, 130.52
-0.347692, 2.65946, -3.87546, 39.1871, -5.12001, 130.394
-0.370866, 2.72681, -4.03895, 39.1148, -5.21413, 130.254
-0.395077, 2.81099, -4.23344, 39.0354, -5.31807, 130.103
-0.419997, 2.91087, -4.45623, 38.9494, -5.4312, 129.94
-0.445431, 3.02468, -4.70606, 38.8569, -5.55318, 129.765
-0.471023, 3.15215, -4.98126, 38.7581, -5.68357, 129.58
-0.496706, 3.29286, -5.28098, 38.6529, -5.82234, 129.383
-0.522269, 3.44742, -5.60555, 38.5409, -5.96972, 129.174
-0.547465, 3.61532, -5.95343, 38.4223, -6.12535, 128.953
-0.572005, 3.79697, -6.32551, 38.2967, -6.2899, 128.719
-0.595568, 3.99257, -6.7189, 38.1648, -6.46269, 128.474
-0.619334, 4.25254, -7.1962, 38.0193, -6.65381, 128.205
-0.640904, 4.51966, -7.68422, 37.8703, -6.85066, 127.93
-0.659925, 4.79366, -8.18243, 37.718, -7.05289, 127.649
-0.676208, 5.07537, -8.69164, 37.5625, -7.26115, 127.364
-0.689474, 5.3656, -9.21295, 37.4036, -7.47618, 127.073
-0.699566, 5.66491, -9.74555, 37.2413, -7.69813, 126.777
-0.706094, 5.97137, -10.2847, 37.0769, -7.92504, 126.478
-0.708658, 6.28251, -10.8264, 36.9114, -8.15506, 126.177
-0.707243, 6.59833, -11.3689, 36.7454, -8.38798, 125.876
-0.702044, 6.91662, -11.9087, 36.5804, -8.62271, 125.577
-0.693088, 7.23821, -12.4462, 36.4162, -8.85956, 125.282
-0.680426, 7.56255, -12.9816, 36.2529, -9.0986, 124.989
-0.664206, 7.88909, -13.515, 36.0907, -9.33982, 124.7
-0.644488, 8.21839, -14.0462, 35.9296, -9.58342, 124.414
-0.621401, 8.54988, -14.5749, 35.7698, -9.82947, 124.133
-0.594871, 8.88358, -15.1026, 35.611, -10.0785, 123.856
-0.565085, 9.21811, -15.6269, 35.4541, -10.3299, 123.585
-0.532155, 9.55373, -16.1482, 35.2992, -10.5836, 123.321
