X,Y,Z,Yaw,Pitch,Roll
0.0887239, 0.940407, -0.675974, 39.8784, -4.25318, 131.752
0.0780094, 1.00492, -0.700791, 39.8652, -4.26813, 131.725
0.0565065, 1.07749, -0.728807, 39.855, -4.27955, 131.703
0.0367301, 1.15751, -0.759709, 39.8418, -4.2944, 131.676
0.0183118, 1.24339, -0.792877, 39.8263, -4.31196, 131.644
0.000920977, 1.33433, -0.828225, 39.8087, -4.33188, 131.607
-0.0156557, 1.4304, -0.865, 39.7894, -4.35379, 131.567
-0.0316757, 1.53168, -0.903599, 39.7683, -4.37772, 131.523
-0.0471902, 1.6373, -0.94341, 39.746, -4.40322, 131.476
-0.0623529, 1.74772, -0.984533, 39.7223, -4.43029, 131.426
-0.077221, 1.86224, -1.02705, 39.6976, -4.45871, 131.374
-0.107014, 2.06031, -1.1016, 39.6562, -4.50598, 131.288
-0.136231, 2.26663, -1.17933, 39.6125, -4.55631, 131.196
-0.165102, 2.48066, -1.26149, 39.5663, -4.60983, 131.1
-0.193622, 2.70045, -1.3473, 39.5181, -4.66598, 131
-0.221801, 2.92355, -1.4373, 39.4684, -4.72447, 130.897
-0.249729, 3.14941, -1.53147, 39.417, -4.78524, 130.791
-0.27746, 3.37767, -1.6301, 39.3643, -4.84827, 130.682
-0.305077, 3.60856, -1.73376, 39.3099, -4.9136, 130.57
-0.332699, 3.84222, -1.84356, 39.2539, -4.98153, 130.456
-0.360336, 4.07814, -1.95913, 39.1963, -5.05204, 130.339
-0.387906, 4.31472, -2.08072, 39.1373, -5.12478, 130.22
-0.40875, 4.54663, -2.20672, 39.0751, -5.20203, 130.095
-0.42936, 4.77221, -2.33739, 39.0132, -5.27984, 129.971
-0.449723, 4.99064, -2.47301, 38.9516, -5.35824, 129.849
-0.469736, 5.20082, -2.61359, 38.8905, -5.43697, 129.73
-0.489377, 5.40082, -2.76021, 38.83, -5.51607, 129.612
-0.5085, 5.58816, -2.91317, 38.7704, -5.59522, 129.498
-0.527124, 5.76202, -3.07355, 38.7115, -5.67462, 129.387
-0.545106, 5.91938, -3.24136, 38.6539, -5.75392, 129.28
-0.562394, 6.05913, -3.41633, 38.5975, -5.83285, 129.178
