X,Y,Z,Yaw,Pitch,Roll
0.058165714,0.047707143,0.010767143,-31.76974286,7.241742857,1.655714286
0.055612116,0.04532709,0.011658914,-31.82438452,7.251606448,1.654978432
0.05312711,0.042969288,0.012528701,-31.87846983,7.261356346,1.654231269
0.05071019,0.040633705,0.013376643,-31.93200114,7.270993143,1.653472914
0.048360847,0.038320306,0.014202878,-31.98498084,7.280517432,1.652703486
0.046078575,0.036029058,0.015007547,-32.03741129,7.289929806,1.651923104
0.043862866,0.033759927,0.015790788,-32.08929486,7.299230857,1.651131886
0.041713214,0.031512879,0.016552739,-32.14063392,7.308421178,1.65032995
0.03962911,0.02928788,0.017293541,-32.19143084,7.317501362,1.649517415
0.037610048,0.027084896,0.018013331,-32.241688,7.326472,1.6486944
0.03565552,0.024903894,0.01871225,-32.29140776,7.335333686,1.647861023
0.03376502,0.02274484,0.019390435,-32.34059249,7.344087012,1.647017402
0.031938039,0.020607701,0.020048027,-32.38924457,7.352732571,1.646163657
0.030174071,0.018492441,0.020685164,-32.43736636,7.361270956,1.645299905
0.028472608,0.016399028,0.021301985,-32.48496024,7.369702758,1.644426266
0.026833143,0.014327429,0.021898629,-32.53202857,7.378028571,1.643542857
0.025255169,0.012277608,0.022475235,-32.57857373,7.386248988,1.642649798
0.023738178,0.010249532,0.023031942,-32.62459808,7.3943646,1.641747206
0.022281664,0.008243168,0.02356889,-32.670104,7.402376,1.6408352
0.020885119,0.006258482,0.024086216,-32.71509386,7.410283781,1.639913899
0.019548035,0.004295439,0.024584061,-32.75957002,7.418088536,1.638983422
0.018269906,0.002354007,0.025062564,-32.80353486,7.425790857,1.638043886
0.017050225,0.000434151,0.025521862,-32.84699074,7.433391337,1.63709541
0.015888483,-0.001464162,0.025962096,-32.88994005,7.440890568,1.636138114
0.014784174,-0.003340967,0.026383404,-32.93238514,7.448289143,1.635172114
0.01373679,-0.005196296,0.026785926,-32.9743284,7.455587654,1.634197531
0.012745825,-0.007030184,0.0271698,-33.01577218,7.462786695,1.633214482
0.01181077,-0.008842665,0.027535165,-33.05671886,7.469886857,1.632223086
0.01093112,-0.010633772,0.027882161,-33.09717081,7.476888734,1.631223461
0.010106365,-0.012403539,0.028210926,-33.1371304,7.483792917,1.630215726
0.009336,-0.014152,0.0285216,-33.1766,7.4906,1.6292
0.008619517,-0.015879188,0.028814321,-33.21558198,7.497310575,1.628176401
0.007956408,-0.017585138,0.029089229,-33.25407872,7.503925235,1.627145047
0.007346167,-0.019269883,0.029346462,-33.29209257,7.510444571,1.626106057
0.006788286,-0.020933457,0.02958616,-33.32962592,7.516869178,1.62505955
0.006282257,-0.022575894,0.029808461,-33.36668113,7.523199647,1.624005644
0.005827575,-0.024197227,0.030013505,-33.40326057,7.529436571,1.622944457
0.005423731,-0.025797491,0.030201431,-33.43936662,7.535580543,1.621876109
0.005070217,-0.027376719,0.030372377,-33.47500164,7.541632155,1.620800717
0.004766528,-0.028934944,0.030526483,-33.510168,7.547592,1.6197184
0.004512155,-0.030472201,0.030663888,-33.54486808,7.55346067,1.618629277
0.004306592,-0.031988524,0.03078473,-33.57910424,7.559238758,1.617533466
0.00414933,-0.033483945,0.030889149,-33.61287886,7.564926857,1.616431086
0.004039864,-0.0349585,0.030977284,-33.6461943,7.570525559,1.615322255
0.003977685,-0.036412221,0.031049274,-33.67905294,7.576035457,1.614207091
0.003962286,-0.037845143,0.031105257,-33.71145714,7.581457143,1.613085714
0.00399316,-0.039257299,0.031145373,-33.74340928,7.58679121,1.611958242
0.0040698,-0.040648723,0.031169761,-33.77491173,7.59203825,1.610824793
0.004191698,-0.042019449,0.03117856,-33.80596686,7.597198857,1.609685486
0.004358348,-0.043369511,0.031171909,-33.83657703,7.602273623,1.608540439
0.004569242,-0.044698942,0.031149947,-33.86674462,7.607263139,1.607389771
0.004823872,-0.046007776,0.031112813,-33.896472,7.612168,1.6062336
0.005121732,-0.047296047,0.031060645,-33.92576154,7.616988797,1.605072045
0.005462314,-0.048563789,0.030993584,-33.9546156,7.621726123,1.603905225
0.005845111,-0.049811035,0.030911768,-33.98303657,7.626380571,1.602733257
0.006269616,-0.05103782,0.030815335,-34.01102681,7.630952734,1.601556261
0.006735321,-0.052244177,0.030704426,-34.03858868,7.635443203,1.600374355
0.007241719,-0.053430139,0.030579179,-34.06572457,7.639852571,1.599187657
0.007788303,-0.054595742,0.030439733,-34.09243684,7.644181432,1.597996286
0.008374566,-0.055741017,0.030286227,-34.11872786,7.648430377,1.596800361
0.009,-0.056866,0.0301188,-34.1446,7.6526,1.5956
0.009664098,-0.057970724,0.029937591,-34.17005563,7.656690892,1.594395321
0.010366353,-0.059055222,0.02974274,-34.19509713,7.660703647,1.593186444
0.011106258,-0.060119529,0.029534384,-34.21972686,7.664638857,1.591973486
0.011883305,-0.061163678,0.029312664,-34.24394719,7.668497115,1.590756566
0.012696988,-0.062187704,0.029077719,-34.26776049,7.672279012,1.589535802
0.013546798,-0.063191639,0.028829686,-34.29116914,7.675985143,1.588311314
0.014432228,-0.064175518,0.028568706,-34.31417551,7.679616099,1.58708322
0.015352772,-0.065139374,0.028294917,-34.33678195,7.683172473,1.585851637
0.016307922,-0.066083241,0.028008458,-34.35899086,7.686654857,1.584616686
0.017297171,-0.067007153,0.027709469,-34.38080459,7.690063845,1.583378483
0.018320011,-0.067911144,0.027398088,-34.40222551,7.693400028,1.582137149
0.019375936,-0.068795248,0.027074454,-34.423256,7.696664,1.5808928
0.020464438,-0.069659498,0.026738707,-34.44389843,7.699856353,1.579645556
0.021585009,-0.070503928,0.026390986,-34.46415516,7.702977679,1.578395536
0.022737143,-0.071328571,0.026031429,-34.48402857,7.706028571,1.577142857
0.023920332,-0.072133463,0.025660175,-34.50352103,7.709009623,1.575887639
0.025134069,-0.072918636,0.025277364,-34.52263491,7.711921425,1.574629999
0.026377847,-0.073684123,0.024883134,-34.54137257,7.714764571,1.573370057
0.027651158,-0.07442996,0.024477625,-34.5597364,7.717539654,1.572107931
0.028953496,-0.07515618,0.024060976,-34.57772875,7.720247266,1.570843739
