X,Y,Z,Yaw,Pitch,Roll
-0.138801429,0.231701429,0.170987143,213.1867429,-7.692242857,0.042857143
-0.135377036,0.226688915,0.168437987,213.1850728,-7.702706349,0.044527182
-0.13197585,0.221703379,0.165937516,213.183554,-7.713144444,0.046046025
-0.128597813,0.216744783,0.163485321,213.1821851,-7.723557143,0.047414857
-0.125242865,0.211813086,0.161080992,213.1809651,-7.733944444,0.048634864
-0.121910947,0.206908251,0.15872412,213.1798928,-7.744306349,0.049707231
-0.118602001,0.202030238,0.156414295,213.1789669,-7.754642857,0.050633143
-0.115315968,0.197179008,0.154151107,213.1781862,-7.764953968,0.051413785
-0.112052788,0.192354523,0.151934148,213.1775497,-7.775239683,0.052050342
-0.108812403,0.187556742,0.149763008,213.177056,-7.7855,0.052544
-0.105594754,0.182785628,0.147637277,213.1767041,-7.795734921,0.052895944
-0.102399782,0.178041141,0.145556546,213.1764926,-7.805944444,0.053107358
-0.099227428,0.173323243,0.143520405,213.1764206,-7.816128571,0.053179429
-0.096077633,0.168631893,0.141528444,213.1764867,-7.826287302,0.05311334
-0.092950339,0.163967054,0.139580256,213.1766897,-7.836420635,0.052910279
-0.089845486,0.159328686,0.137675429,213.1770286,-7.846528571,0.052571429
-0.086763015,0.15471675,0.135813554,213.177502,-7.856611111,0.052097975
-0.083702868,0.150131207,0.133994222,213.1781089,-7.866668254,0.051491104
-0.080664986,0.145572019,0.132217024,213.178848,-7.8767,0.050752
-0.077649309,0.141039146,0.13048155,213.1797182,-7.886706349,0.049881848
-0.074655779,0.13653255,0.12878739,213.1807182,-7.896687302,0.048881834
-0.071684337,0.13205219,0.127134135,213.1818469,-7.906642857,0.047753143
-0.068734925,0.127598029,0.125521375,213.183103,-7.916573016,0.046496959
-0.065807482,0.123170027,0.123948702,213.1844855,-7.926477778,0.045114469
-0.062901951,0.118768146,0.122415705,213.1859931,-7.936357143,0.043606857
-0.060018272,0.114392346,0.120921975,213.1876247,-7.946211111,0.041975309
-0.057156386,0.110042588,0.119467103,213.189379,-7.956039683,0.040221009
-0.054316235,0.105718833,0.118050679,213.1912549,-7.965842857,0.038345143
-0.05149776,0.101421043,0.116672293,213.1932511,-7.975620635,0.036348896
-0.048700901,0.097149178,0.115331537,213.1953665,-7.985373016,0.034233453
-0.0459256,0.0929032,0.114028,213.1976,-7.9951,0.032
-0.043171798,0.088683069,0.112761273,213.1999503,-8.004801587,0.029649721
-0.040439436,0.084488746,0.111530947,213.2024162,-8.014477778,0.027183802
-0.037728455,0.080320193,0.110336613,213.2049966,-8.024128571,0.024603429
-0.035038797,0.07617737,0.109177859,213.2076902,-8.033753968,0.021909785
-0.032370401,0.072060238,0.108054279,213.2104959,-8.043353968,0.019104056
-0.029723211,0.067968759,0.106965461,213.2134126,-8.052928571,0.016187429
-0.027097165,0.063902894,0.105910996,213.2164389,-8.062477778,0.013161086
-0.024492206,0.059862602,0.104890475,213.2195738,-8.072001587,0.010026215
-0.021908275,0.055847846,0.103903488,213.222816,-8.0815,0.006784
-0.019345313,0.051858587,0.102949626,213.2261644,-8.090973016,0.003435626
-0.01680326,0.047894785,0.10202848,213.2296177,-8.100420635,-1.77E-05
-0.014282059,0.043956401,0.101139639,213.2331749,-8.109842857,-0.003574857
-0.01178165,0.040043397,0.100282695,213.2368346,-8.119239683,-0.007234596
-0.009301973,0.036155734,0.099457237,213.2405958,-8.128611111,-0.010995753
-0.006842971,0.032293371,0.098662857,213.2444571,-8.137957143,-0.014857143
-0.004404585,0.028456272,0.097899145,213.2484176,-8.147277778,-0.01881758
-0.001986755,0.024644396,0.097165691,213.2524759,-8.156573016,-0.02287588
0.000410578,0.020857704,0.096462087,213.2566309,-8.165842857,-0.027030857
0.002787472,0.017096158,0.095787922,213.2608813,-8.175087302,-0.031281326
0.005143986,0.013359718,0.095142787,213.2652261,-8.184306349,-0.035626102
0.007480179,0.009648346,0.094526272,213.269664,-8.1935,-0.040064
