X,Y,Z,Yaw,Pitch,Roll
-0.343611, 16.3726, -15.5224, 34.5025, -11.975, 121.956
-0.338372, 16.4142, -15.5603, 34.4933, -12.0033, 121.948
-0.335262, 16.4356, -15.5848, 34.4878, -12.02, 121.943
-0.334253, 16.4392, -15.5956, 34.4859, -12.0255, 121.941
-0.335212, 16.4279, -15.592, 34.4871, -12.0205, 121.941
-0.338003, 16.4065, -15.5738, 34.491, -12.0059, 121.943
-0.342369, 16.3787, -15.5411, 34.4971, -11.983, 121.946
-0.348051, 16.3476, -15.4949, 34.5051, -11.9531, 121.949
-0.354747, 16.316, -15.4371, 34.5144, -11.918, 121.954
-0.362005, 16.2876, -15.3702, 34.5246, -11.8799, 121.958
-0.369341, 16.2662, -15.2976, 34.5348, -11.8413, 121.963
-0.376278, 16.2546, -15.2228, 34.5445, -11.8049, 121.968
-0.382554, 16.2552, -15.1474, 34.5533, -11.772, 121.972
-0.387878, 16.27, -15.0742, 34.5607, -11.744, 121.975
-0.391859, 16.3017, -15.0063, 34.5661, -11.723, 121.977
-0.394363, 16.3506, -14.9455, 34.569, -11.7096, 121.977
-0.395222, 16.4172, -14.8938, 34.5691, -11.7045, 121.975
-0.394196, 16.5014, -14.8542, 34.5659, -11.709, 121.969
-0.391136, 16.6032, -14.8283, 34.559, -11.7238, 121.96
-0.385898, 16.7229, -14.8176, 34.5482, -11.7495, 121.947
-0.37837, 16.8604, -14.8236, 34.5332, -11.7869, 121.93
-0.368577, 17.0147, -14.847, 34.514, -11.8356, 121.909
-0.356438, 17.1853, -14.8888, 34.4904, -11.8961, 121.883
-0.341994, 17.3707, -14.9496, 34.4626, -11.9681, 121.853
-0.325283, 17.5677, -15.0313, 34.4302, -12.0514, 121.817
-0.306538, 17.7699, -15.1356, 34.3933, -12.1446, 121.776
-0.285754, 17.9754, -15.2641, 34.3519, -12.2477, 121.729
-0.263037, 18.1814, -15.4173, 34.3056, -12.3599, 121.674
-0.238591, 18.385, -15.5947, 34.2545, -12.48, 121.612
